SMILES,AE
Cc1cc(C)nc(N2CCC3(CCCN(Cc4c[nH]c5ccccc45)C3=O)CC2)n1,0.25311194863610265
Cc1cc(C)nc(N2CCC3(CCCN(Cc4ccccc4-c4nc(C)no4)C3=O)CC2)n1,0.41384311531414664
Cc1cc(C)nc(N2CCC3(CCCN(Cc4cn(C)c5ccccc45)C3=O)CC2)n1,0.024431275137088093
Cc1cc(C)nc(N2CCC3(CCCN(Cc4nn(C)cc4-c4ccccc4)C3=O)CC2)n1,0.4505684657720561
Cc1cc(C)nc(N2CCC3(CCCN(Cc4nn(C)nc4-c4ccccc4)C3=O)CC2)n1,0.2854428921359595
Cc1cc(N)nc2ccccc12,0.14293931870569399
Cc1cc(N2CCCC2)cc(/C=C/c2cccc(C(F)(F)F)c2)n1,3.7969947964437347
Cc1ccc(-c2ccc3c(c2)C=C(C(=O)Nc2ccc(CN(C)C4CCOCC4)cc2)CCC3)cc1,0.21239485384113266
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,1.1439269063628918
Cc1ccc(C)c(CN2C(=O)CCCC23CCN(c2cnc4ccccc4n2)CC3)c1,0.4700383015432732
Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1Nc1ccc2ncn(C)c(=O)c2c1,0.13122169007976003
Cc1ccc(NC(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,0.25851507340188684
Cc1ccc(Nc2ncc(C(=O)N3CCCCC3)cc2Cl)cn1,0.5443964912466415
Cc1ccc(OC(C)(C)C(=O)N[C@@H](C)[C@@H](Cc2ccc(OCCF)cc2)c2cccc(C#N)c2)nc1,0.6077666046073635
Cc1ccc2nc(N)ccc2c1,0.30686167015348786
Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,0.03538727072558068
Cc1ccnc(N2CCC3(CCCN(Cc4c[nH]c5ccccc45)C3=O)CC2)n1,0.23555994853809725
Cc1csc2ccc3[nH]c4c(c3c12)CN(C)CC4,0.5165446894095975
Cc1csc2ncnc(NCCc3ccc(Cl)cc3)c12,0.327136076446906
Cc1nc(C#Cc2ccnc(Cl)c2)c(C)n1-c1ccc(F)cc1,0.19759728044061298
Cc1nc(N2CCN(CC3CC3)C2=O)sc1C(=O)NCc1cccnc1,0.12695862632577626
Cc1nc(N2CCN(Cc3ccccc3)C2=O)sc1C(=O)NCc1ccccn1,0.10897982760303382
Cc1nc2cccc(C(F)(F)F)c2c(=O)n1-c1ccc(OC2CCN(C3CCC3)CC2)cc1,0.647426759356847
Cc1nc2ccccn2c1C(=O)NCc1ccc(-c2ccccc2)cc1,0.286717665730861
Cc1nc2ccccn2c1C(=O)NCc1ccc(Cl)cc1,0.6155400426071527
Cc1nc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,0.5843348844036171
Cc1ncc(-c2ccc(C(F)(F)F)cc2)c(NC2C3CC4CC(C3)CC2C4)n1,0.027072243654581385
Cc1ncc(-c2ccc(C(F)(F)F)cc2)c(NC2CCCCCC2)n1,0.3851504012795104
Cc1ncccc1Oc1ncnc(OC2CCN(C(=O)OC(C)C)CC2)c1C,0.32410649346300513
Clc1ccc(-c2ccc(-c3ccnc(N4CCNCC4)n3)s2)cc1,1.6848253464620662
Clc1ccc(OCc2nn[nH]n2)c(C2CCCCC2)c1,0.04085753544904591
Clc1ccc2c(c1)N=C(N1CCCCC1)c1ccccc1N2,0.09541093160388847
CN(C)Cc1ccc(-c2cc3onc(-c4ccccc4)c3c(=O)n2C)cc1,0.3794393392125013
Cn1c(N)nc2ccccc2c1=O,0.2763115241114722
Fc1ccc([C@H]2CCNC[C@@H]2COc2ccc3c(c2)OCO3)cc1,0.0640692529711373
Fc1ccc2c(/C=C/c3cccnc3)c[nH]c2c1,0.19614081523194926
Fc1ccc2c(/C=C/c3nn[nH]n3)c[nH]c2c1,0.2389511566267304
Fc1cccc(-c2c[nH]c3ncccc23)c1,1.1877754647228533
Fc1ccccc1C1=Cc2ccccc2C2=NCCN12,0.18187999331001414
Ic1cccc(-c2nn[nH]n2)c1,0.9981047346174448
N#Cc1c(-c2ccc(Cl)cc2)nc(SCC(=O)Nc2ccc(Cl)cc2)[nH]c1=O,0.1561006165894958
N#Cc1c(-c2ccccc2)nc(SCc2ccccc2)[nH]c1=O,0.20615694716983146
N#Cc1cc(CN2CCC(Nc3ncnc4sc(Cl)cc34)CC2)ccc1F,0.6858382282541324
N#Cc1ccc2[nH]cc(-c3ccnc(N)n3)c2c1,0.388233700022794
N#Cc1ccc2ccn(-c3ccnc(N)n3)c2c1,0.4049698490341216
NC(=O)c1ccc(-c2cc(-c3ccccc3)cnc2N)cc1,0.2100221967571514
NC(=O)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1,0.673202481391094
NC1=Nc2ccccc2CC1,0.746374511143939
NS(=O)(=O)Oc1ccc2nc(C=C3C4CC5CC(C4)CC3C5)oc2c1,0.09544621542836751
Nc1ccc(-c2cc3ccccc3oc2=O)cc1,0.2475603157777635
Nc1ccc2ccccc2n1,0.3849636182140932
Nc1n[nH]c2cc(Br)ccc12,0.690740931271411
Nc1nc(-c2ccccc2)cc2ccccc12,0.024828890506280565
Nc1nc(-c2ccccn2)nc(N)c1Cc1ccc(Cl)cc1Cl,0.023141585091059014
Nc1nccc(N2CCc3ccc(Br)cc32)n1,0.8966003793238047
Nc1ncnc2ccc(-c3cccc(F)c3)nc12,0.7481627749947135
Nc1ncnc2ccc(-c3ccnc(F)c3)nc12,0.5281996205859691
O=C(/C=C/c1ccc(Br)cc1)N1CCN(Cc2ccccc2)CC1,0.3565783478954474
O=C(CSc1nccn1C1CCCC1)Nc1ccc(C(F)(F)F)cc1,0.21524477864847658
O=C(Cc1ccccc1)N1CCCC12CCN(c1cnc3ccccc3n1)CC2,0.6566867271015915
O=C(NCCN1CCC(n2c(=O)[nH]c3cc(F)ccc32)CC1)c1ccc(F)cc1,0.9075476768229471
O=C(NCc1ccc(Cl)cc1)c1cn2c(CCO)cc3cc(CN4CCOCC4)cc(c1=O)c32,0.20268185400331173
O=C(Nc1ccc(F)c(Cl)c1)C1CCN(c2ncccn2)CC1,0.6029273481268964
O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NCc1ccncc1,0.5123351800360583
O=C(Nc1cccc2cnccc12)c1ccc(-c2ccccc2)cc1,0.14442673518700744
O=C(Nc1nnc(-c2ccc(F)cc2)o1)c1ccc(Cl)s1,1.1374444361173408
O=C(Nc1nnc(-c2cccs2)o1)c1cccc(C(F)(F)F)c1,0.36256199165160563
O=C1CCCC2(CCN(c3cnc4ccccc4n3)CC2)N1Cc1c[nH]c2ccccc12,0.07160976014064113
O=C1CCCC2(CCN(c3cnc4ccccc4n3)CC2)N1Cc1ccccc1,0.2241393930078175
O=C1CN=C(c2ccccc2)c2cc3ccccc3cc2N1,2.2473639177932396
O=C1N(Cc2c[nH]c3ccccc23)CCCC12CCN(c1cnc3ccccc3n1)CC2,0.5665899607253051
O=C1N(Cc2c[nH]c3ccccc23)CCCC12CCN(c1ncccn1)CC2,0.42217450382245314
O=C1N(Cc2cccc3[nH]ccc23)CCCC12CCN(c1cnc3ccccc3n1)CC2,0.5524843188187978
O=C1N(Cc2ccccc2)CCCC12CCN(c1cnc3ccccc3n1)CC2,0.342573944055784
O=NC(=O)CCc1ccc(CN2CCC(c3c[nH]c4ccccc34)CC2)cc1,0.45999278472457306
O=NC(=O)CCc1ccc(CNCC23CC4CC(CC(C4)C2)C3)cc1,0.031766120214102855
O=S(=O)(c1ccccc1)n1cc(-c2cccc3nccn23)c2ccccc21,0.030662475767737618
O=c1[nH]c(-c2ccc(C(F)(F)F)cc2)nc2c1CCOC2,1.5786960842314484
O=c1[nH]c(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,0.6622687050780147
O=c1[nH]c2c(Cc3nn[nH]n3)c3ccccc3n2c2ccccc12,0.4541626443858515
O=c1cc(CSc2cccc(F)c2F)nc2cc(-c3ccco3)[nH]n12,1.2006919726319785
O=c1cc(CSc2cccc(F)c2F)nc2cc[nH]n12,0.9802771586128944
OCCn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1,0.6046512224320448
NC(CO)c1ccccc1,0.03845629913514337
c1ccc(-c2cnc3c(-c4ccnc5ccccc45)cnn3c2)cc1,0.25583382887401296
c1ccc(-c2nc3n(c2-c2ccccc2)CCS3)cc1,0.6277678420557926
c1ccc(N2CCNCC2)cc1,0.5303063960981049
c1ccc(Nc2nc(NC3CCCCC3)nc3ccccc23)cc1,1.0713632953630992
c1ccc(Nc2ncc3ccccc3n2)cc1,0.4638308746727655
